code,region,authority,fye,maintenance_pct,year,local_authority_name,link_length_km,road_length_miles,cars_and_taxis,total_traffic,traffic_intensity,year_n,intensity_n,intensity_group,region_East of England,region_London,region_North East,region_North West,region_South East,region_South West,region_West Midlands,region_Yorkshire and the Humber
E08000010,North West,Wigan,FYE 2008,5.0,2008,Wigan,1155,718,952900000.0,1210500000.0,1685933.147632312,0.9916049382716049,0.4826203358413331,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000015,North West,Wirral,FYE 2008,4.0,2008,Wirral,1209,751,855900000.0,1043500000.0,1389480.6924101198,0.9916049382716049,0.39775695694564434,Low,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000016,Yorkshire and the Humber,Barnsley,FYE 2008,5.0,2008,Barnsley,1209,751,924600000.0,1200600000.0,1598668.4420772304,0.9916049382716049,0.457639676577806,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E08000032,Yorkshire and the Humber,Bradford,FYE 2008,3.0,2008,Bradford,1945,1209,1238200000.0,1528300000.0,1264102.564102564,0.9916049382716049,0.36186583369681957,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E08000033,Yorkshire and the Humber,Calderdale,FYE 2008,6.0,2008,Calderdale,1228,763,729800000.0,942000000.0,1234600.262123198,0.9916049382716049,0.35342041525933876,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E08000017,Yorkshire and the Humber,Doncaster,FYE 2008,2.0,2008,Doncaster,1672,1039,1395200000.0,1886000000.0,1815206.9297401349,0.9916049382716049,0.5196266407615349,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E06000011,Yorkshire and the Humber,East Riding of Yorkshire,FYE 2008,4.0,2008,East Riding of Yorkshire,3441,2138,1623700000.0,2127200000.0,994948.5500467727,0.9916049382716049,0.28481698935855115,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E06000010,Yorkshire and the Humber,"Kingston upon Hull, City of",FYE 2008,6.0,2008,"Kingston upon Hull, City of",740,460,564900000.0,714900000.0,1554130.4347826086,0.9916049382716049,0.44489009153736647,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E08000034,Yorkshire and the Humber,Kirklees,FYE 2008,4.0,2008,Kirklees,1919,1192,1282100000.0,1658000000.0,1390939.5973154362,0.9916049382716049,0.39817458748832224,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E08000035,Yorkshire and the Humber,Leeds,FYE 2008,6.0,2008,Leeds,2992,1859,3059300000.0,3883300000.0,2088918.7735341582,0.9916049382716049,0.5979802232633908,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E06000012,Yorkshire and the Humber,North East Lincolnshire,FYE 2008,7.0,2008,North East Lincolnshire,635,395,464500000.0,586800000.0,1485569.6202531646,0.9916049382716049,0.42526366484291245,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E06000013,Yorkshire and the Humber,North Lincolnshire,FYE 2008,6.0,2008,North Lincolnshire,1428,887,743600000.0,1039400000.0,1171815.107102593,0.9916049382716049,0.3354473463719696,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E06000065,Yorkshire and the Humber,North Yorkshire,FYE 2008,3.0,2008,North Yorkshire,9367,5820,3798100000.0,5035200000.0,865154.6391752578,0.9916049382716049,0.24766179080103867,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E08000018,Yorkshire and the Humber,Rotherham,FYE 2008,9.0,2008,Rotherham,1202,747,1135000000.0,1485000000.0,1987951.8072289156,0.9916049382716049,0.5690771132821022,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E08000019,Yorkshire and the Humber,Sheffield,FYE 2008,10.0,2008,Sheffield,1993,1238,1331800000.0,1672000000.0,1350565.4281098547,0.9916049382716049,0.3866169553670976,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E08000036,Yorkshire and the Humber,Wakefield,FYE 2008,2.0,2008,Wakefield,1532,952,1316800000.0,1728600000.0,1815756.3025210083,0.9916049382716049,0.5197839058798935,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E06000014,Yorkshire and the Humber,York,FYE 2008,4.0,2008,York,793,493,605600000.0,752700000.0,1526774.8478701825,0.9916049382716049,0.4370591982653806,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E06000015,East Midlands,Derby,FYE 2008,7.0,2008,Derby,750,466,895400000.0,1077500000.0,2312231.7596566523,0.9916049382716049,0.6619064759214671,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000007,East Midlands,Derbyshire,FYE 2008,4.0,2008,Derbyshire,5656,3514,3777700000.0,4875100000.0,1387336.3688104723,0.9916049382716049,0.3971431163688292,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000016,East Midlands,Leicester,FYE 2008,8.0,2008,Leicester,816,507,741900000.0,902000000.0,1779092.7021696253,0.9916049382716049,0.5092884724520694,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000018,East Midlands,Leicestershire,FYE 2008,2.0,2008,Leicestershire,4524,2811,3524000000.0,4612800000.0,1640981.8569903949,0.9916049382716049,0.4697524430565151,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000019,East Midlands,Lincolnshire,FYE 2008,2.0,2008,Lincolnshire,8855,5502,2776600000.0,3702100000.0,672864.4129407489,0.9916049382716049,0.19261620747252092,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000021,East Midlands,Northamptonshire,FYE 2008,3.0,2008,Northamptonshire,4426,2750,4007000000.0,5247800000.0,1908290.9090909092,0.9916049382716049,0.5462731429901725,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000018,East Midlands,Nottingham,FYE 2008,8.0,2008,Nottingham,795,494,781800000.0,972200000.0,1968016.1943319838,0.9916049382716049,0.5633702842746579,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000024,East Midlands,Nottinghamshire,FYE 2008,3.0,2008,Nottinghamshire,4850,3014,3357200000.0,4360600000.0,1446781.685467817,0.9916049382716049,0.4141601129974636,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000017,East Midlands,Rutland,FYE 2008,1.0,2008,Rutland,548,341,273500000.0,375700000.0,1101759.5307917888,0.9916049382716049,0.31539302463675684,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E08000025,West Midlands,Birmingham,FYE 2008,5.0,2008,Birmingham,2511,1560,2872100000.0,3519800000.0,2256282.0512820515,0.9916049382716049,0.6458901427211287,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E08000026,West Midlands,Coventry,FYE 2008,4.0,2008,Coventry,868,539,916400000.0,1109500000.0,2058441.5584415584,0.9916049382716049,0.5892557232414558,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E08000027,West Midlands,Dudley,FYE 2008,8.0,2008,Dudley,1015,631,854600000.0,1065800000.0,1689064.9762282092,0.9916049382716049,0.4835168625932225,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E06000019,West Midlands,"Herefordshire, County of",FYE 2008,6.0,2008,"Herefordshire, County of",3357,2086,865300000.0,1142200000.0,547555.1294343241,0.9916049382716049,0.15674479194525648,Low,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E08000028,West Midlands,Sandwell,FYE 2008,5.0,2008,Sandwell,878,546,934500000.0,1214900000.0,2225091.5750915753,0.9916049382716049,0.6369614624141787,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E06000051,West Midlands,Shropshire,FYE 2008,6.0,2008,Shropshire,5217,3242,1454500000.0,1914500000.0,590530.5367057372,0.9916049382716049,0.16904706236408976,Low,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E10000028,West Midlands,Staffordshire,FYE 2008,5.0,2008,Staffordshire,6310,3921,4460900000.0,5779900000.0,1474088.2427952052,0.9916049382716049,0.42197697091174247,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E06000021,West Midlands,Stoke-on-Trent,FYE 2008,5.0,2008,Stoke-on-Trent,867,539,684500000.0,843400000.0,1564749.5361781076,0.9916049382716049,0.4479299477078358,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E06000020,West Midlands,Telford and Wrekin,FYE 2008,1.0,2008,Telford and Wrekin,1029,639,665500000.0,831500000.0,1301251.9561815336,0.9916049382716049,0.3725003313378636,Low,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E08000030,West Midlands,Walsall,FYE 2008,4.0,2008,Walsall,861,535,694200000.0,897200000.0,1677009.3457943925,0.9916049382716049,0.48006578126362254,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E10000031,West Midlands,Warwickshire,FYE 2008,4.0,2008,Warwickshire,4122,2561,4424700000.0,5642600000.0,2203279.968762202,0.9916049382716049,0.6307176058373599,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E08000031,West Midlands,Wolverhampton,FYE 2008,2.0,2008,Wolverhampton,764,475,578700000.0,719000000.0,1513684.2105263157,0.9916049382716049,0.4333118327188008,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E10000034,West Midlands,Worcestershire,FYE 2008,5.0,2008,Worcestershire,4140,2572,3320600000.0,4202000000.0,1633748.0559875583,0.9916049382716049,0.46768167324319165,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E10000001,East of England,Bedfordshire,FYE 2008,3.0,2008,Bedfordshire,2309,1435,1980800000.0,2553700000.0,1779581.881533101,0.9916049382716049,0.5094285064202128,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000003,East of England,Cambridgeshire,FYE 2008,2.0,2008,Cambridgeshire,4714,2929,3492100000.0,4589200000.0,1566814.6124957323,0.9916049382716049,0.4485211027173625,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000012,East of England,Essex,FYE 2008,4.0,2008,Essex,8198,5094,6803100000.0,8736300000.0,1715017.667844523,0.9916049382716049,0.4909461588031239,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000015,East of England,Hertfordshire,FYE 2008,4.0,2008,Hertfordshire,4944,3072,5454200000.0,6846900000.0,2228808.59375,0.9916049382716049,0.6380255074480977,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000032,East of England,Luton,FYE 2008,4.0,2008,Luton,459,285,398800000.0,484200000.0,1698947.3684210526,0.9916049382716049,0.4863458261530908,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000020,East of England,Norfolk,FYE 2008,3.0,2008,Norfolk,10122,6290,3953900000.0,5078100000.0,807329.093799682,0.9916049382716049,0.23110847481187163,Low,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000031,East of England,Peterborough,FYE 2008,1.0,2008,Peterborough,909,565,852900000.0,1075100000.0,1902831.8584070797,0.9916049382716049,0.5447104185855277,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000033,East of England,Southend-on-Sea,FYE 2008,5.0,2008,Southend-on-Sea,450,280,327000000.0,391700000.0,1398928.5714285714,0.9916049382716049,0.40046153544644486,Low,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000029,East of England,Suffolk,FYE 2008,4.0,2008,Suffolk,6975,4334,2790300000.0,3691300000.0,851707.4296262114,0.9916049382716049,0.24381235181361274,Low,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000034,East of England,Thurrock,FYE 2008,4.0,2008,Thurrock,573,356,782000000.0,1027200000.0,2885393.258426966,0.9916049382716049,0.8259814248103534,High,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000002,London,Barking and Dagenham,FYE 2008,2.0,2008,Barking and Dagenham,333,207,304600000.0,385000000.0,1859903.381642512,0.9916049382716049,0.5324215826359121,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000003,London,Barnet,FYE 2008,3.0,2008,Barnet,763,474,905400000.0,1116300000.0,2355063.2911392404,0.9916049382716049,0.6741675600206533,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000004,London,Bexley,FYE 2008,3.0,2008,Bexley,541,336,511500000.0,640600000.0,1906547.619047619,0.9916049382716049,0.5457741034954314,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000005,London,Brent,FYE 2008,8.0,2008,Brent,485,301,496800000.0,609600000.0,2025249.1694352159,0.9916049382716049,0.5797539693005511,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000006,London,Bromley,FYE 2008,2.0,2008,Bromley,895,556,721600000.0,884600000.0,1591007.1942446043,0.9916049382716049,0.45544654453865113,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000007,London,Camden,FYE 2008,11.0,2008,Camden,288,179,259300000.0,349200000.0,1950837.9888268157,0.9916049382716049,0.5584527990696848,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000001,London,City of London,FYE 2008,8.0,2008,City of London,58,36,78500000.0,111600000.0,3100000.0,0.9916049382716049,0.8874154014999085,High,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000008,London,Croydon,FYE 2008,7.0,2008,Croydon,774,481,697900000.0,853900000.0,1775259.8752598753,0.9916049382716049,0.5081912757969096,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000009,London,Ealing,FYE 2008,9.0,2008,Ealing,588,365,685900000.0,845900000.0,2317534.2465753425,0.9916049382716049,0.6634243819078857,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000010,London,Enfield,FYE 2008,4.0,2008,Enfield,643,400,782300000.0,1018000000.0,2545000.0,0.9916049382716049,0.7285394183281507,High,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000011,London,Greenwich,FYE 2008,4.0,2008,Greenwich,507,315,585200000.0,750900000.0,2383809.523809524,0.9916049382716049,0.682396543764753,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000012,London,Hackney,FYE 2008,6.0,2008,Hackney,279,173,247600000.0,332100000.0,1919653.1791907514,0.9916049382716049,0.5495257408877859,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000013,London,Hammersmith and Fulham,FYE 2008,8.0,2008,Hammersmith and Fulham,223,139,265700000.0,352300000.0,2534532.3741007196,0.9916049382716049,0.725542923992615,High,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000014,London,Haringey,FYE 2008,9.0,2008,Haringey,358,222,279000000.0,360700000.0,1624774.7747747747,0.9916049382716049,0.46511295454957424,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000015,London,Harrow,FYE 2008,4.0,2008,Harrow,478,297,351100000.0,419100000.0,1411111.111111111,0.9916049382716049,0.4039489462024673,Low,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000016,London,Havering,FYE 2008,2.0,2008,Havering,651,405,765900000.0,998500000.0,2465432.098765432,0.9916049382716049,0.7057620696118349,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000017,London,Hillingdon,FYE 2008,3.0,2008,Hillingdon,735,457,1222200000.0,1473700000.0,3224726.47702407,0.9916049382716049,0.9231199810760324,High,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000018,London,Hounslow,FYE 2008,7.0,2008,Hounslow,502,312,869200000.0,1046400000.0,3353846.153846154,0.9916049382716049,0.960082171349777,High,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000019,London,Islington,FYE 2008,9.0,2008,Islington,245,152,199900000.0,275300000.0,1811184.2105263157,0.9916049382716049,0.5184750849595179,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000020,London,Kensington and Chelsea,FYE 2008,6.0,2008,Kensington and Chelsea,209,130,244700000.0,332400000.0,2556923.076923077,0.9916049382716049,0.7319525544877657,High,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000021,London,Kingston upon Thames,FYE 2008,4.0,2008,Kingston upon Thames,336,209,524400000.0,633500000.0,3031100.4784688996,0.9916049382716049,0.8676920155119495,High,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000022,London,Lambeth,FYE 2008,12.0,2008,Lambeth,376,234,385300000.0,519900000.0,2221794.871794872,0.9916049382716049,0.6360177381304143,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000023,London,Lewisham,FYE 2008,8.0,2008,Lewisham,447,278,395400000.0,511500000.0,1839928.0575539568,0.9916049382716049,0.5267033857823198,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000024,London,Merton,FYE 2008,9.0,2008,Merton,373,232,350600000.0,436400000.0,1881034.4827586208,0.9916049382716049,0.5384706357265853,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000025,London,Newham,FYE 2008,6.0,2008,Newham,418,260,465300000.0,591200000.0,2273846.153846154,0.9916049382716049,0.6509180959885186,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000026,London,Redbridge,FYE 2008,3.0,2008,Redbridge,536,333,552800000.0,680900000.0,2044744.7447447449,0.9916049382716049,0.585334831813705,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000027,London,Richmond upon Thames,FYE 2008,9.0,2008,Richmond upon Thames,415,258,462300000.0,560300000.0,2171705.426356589,0.9916049382716049,0.6216789815708911,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000028,London,Southwark,FYE 2008,5.0,2008,Southwark,398,247,371300000.0,502500000.0,2034412.955465587,0.9916049382716049,0.5823772224810031,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000029,London,Sutton,FYE 2008,6.0,2008,Sutton,429,267,375400000.0,457800000.0,1714606.7415730336,0.9916049382716049,0.49082852580241404,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000030,London,Tower Hamlets,FYE 2008,9.0,2008,Tower Hamlets,306,190,442600000.0,595400000.0,3133684.210526316,0.9916049382716049,0.8970579457606885,High,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000031,London,Waltham Forest,FYE 2008,6.0,2008,Waltham Forest,424,263,370200000.0,464500000.0,1766159.6958174906,0.9916049382716049,0.505586230831237,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000032,London,Wandsworth,FYE 2008,5.0,2008,Wandsworth,440,273,418700000.0,541800000.0,1984615.3846153845,0.9916049382716049,0.5681220188262441,Medium,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E09000033,London,Westminster,FYE 2008,12.0,2008,Westminster,344,214,415100000.0,581400000.0,2716822.429906542,0.9916049382716049,0.777725828206281,High,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E06000036,South East,Bracknell Forest,FYE 2008,8.0,2008,Bracknell Forest,454,282,370200000.0,439800000.0,1559574.4680851065,0.9916049382716049,0.44644851702088745,Medium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
E06000043,South East,Brighton and Hove,FYE 2008,11.0,2008,Brighton and Hove,624,388,644800000.0,793000000.0,2043814.4329896907,0.9916049382716049,0.5850685179493078,Medium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
E06000060,South East,Buckinghamshire,FYE 2008,5.0,2008,Buckinghamshire,3222,2002,3083900000.0,3755300000.0,1875774.2257742258,0.9916049382716049,0.5369648186092305,Medium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
E10000011,South East,East Sussex,FYE 2008,14.0,2008,East Sussex,3403,2115,2055000000.0,2563100000.0,1211867.6122931442,0.9916049382716049,0.34691289797672775,Low,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
